,Title,Genre,Album_Date,Video_Date,Score
60,Animal Collective - Time Skiffs ALBUM REVIEW, 2022 / domino / neo-psychedelia,2022,2/7/2022,7
61,Ustalost - Before the Glinting Spell Unvests ALBUM REVIEW, 2021 / gilead media / atmospheric black metal,2021,2/5/2022,7
62,Silvana Estrada - Marchita ALBUM REVIEW," 2022 / glassnote / singer-songwriter, chamber folk",2022,2/3/2022,9
63,Krallice - Crystalline Exhaustion ALBUM REVIEW, 2022 / p2 / avant-garde metal,2022,2/1/2022,8
64,Amber Mark - Three Dimensions Deep ALBUM REVIEW," 2022 / jasmine / r&b, neo-soul",2022,1/31/2022,7
65,AURORA - The Gods We Can Touch ALBUM REVIEW, 2022 / decca / alt pop,2022,1/29/2022,6
66,Yard Act - The Overload ALBUM REVIEW, 2022 / zen f.c. / post-punk,2022,1/26/2022,7
67,tricot - Jodeki ALBUM REVIEW, 2021 / avex / math rock,2021,1/23/2022,7
68,Cordae - From a Birds Eye View ALBUM REVIEW," 2022 / atlantic / conscious hip hop, trap rap",2022,1/20/2022,6
69,foxtails - fawn ALBUM REVIEW, 2022 / skeletal lightning / chamber screamo,2022,1/19/2022,8
70,Earl Sweatshirt - SICK! ALBUM REVIEW, 2022 / tan cressida / abstract hip hop,2022,1/17/2022,6
71,Roddy Ricch - Live Life Fast ALBUM REVIEW," 2021 / atlantic / pop rap, trap",2021,1/14/2022,3
72,Nas - Magic ALBUM REVIEW, 2021 / mass appeal / east coast hip hop,2021,1/12/2022,7
73,The Weeknd - Dawn FM ALBUM REVIEW," 2022 / xo / synthpop, r&b",2022,1/11/2022,8
74,Fire-Toolz - Eternal Home ALBUM REVIEW," 2021 / hausu mountain / blackened vapor, etc.",2021,12/15/2021,7
75,Juice WRLD - Fighting Demons ALBUM REVIEW, 2021 / grade a / emo trap,2021,12/14/2021,4
76,L'Rain - Fatigue ALBUM REVIEW," 2021 / mexican summer / neo-psychedelic soul, sound collage",2021,12/12/2021,8
77,Arca - KiCk ii-iiiii ALBUM(S) REVIEW," 2021 / xl / deconstructed club, glitch, experimental hip hop, avant-reggaeton, ambient",2021,12/9/2021,"a
7"
78,Catbite - Nice One ALBUM REVIEW, 2021 / bad time / ska,2021,12/7/2021,7
79,Snail Mail - Valentine ALBUM REVIEW, 2021 / matador / indie rock,2021,12/6/2021,5
80,"YoungBoy Never Broke Again - Sincerely, Kentrell ALBUM REVIEW", 2021 / atlantic / trap rap,2021,12/4/2021,4
81,Juçara Marçal - Delta Estácio Blues ALBUM REVIEW, 2021 / qtv / brazilian avant-garde,2021,12/2/2021,7
82,"Deerhoof - Actually, You Can ALBUM REVIEW"," 2021 / joyful noise / noise pop, indie rock",2021,12/1/2021,8
83,Richard Dawson & Circle - Henki ALBUM REVIEW," 2021 / domino / prog rock, heavy psych",2021,11/30/2021,9
84,Converge & Chelsea Wolfe - Bloodmoon: I ALBUM REVIEW, 2021 / epitaph / gothic \u0026 atmospheric sludge metal,2021,11/29/2021,7
85,dltzk - Frailty ALBUM REVIEW," 2021 / deadair / experimental pop, indietronic",2021,11/25/2021,7
86,Adele - 30 ALBUM REVIEW, 2021 / melted stone / pop soul,2021,11/24/2021,7
87,ABBA - Voyage ALBUM REVIEW, 2021 / umg / europop,2021,11/22/2021,5
88,Aesop Rock x Blockhead - Garbology ALBUM REVIEW, 2021 / rhymesayers entertainment / abstract hip hop,2021,11/18/2021,7
89,IDLES - Crawler ALBUM REVIEW, 2021 / partisan / post-punk,2021,11/16/2021,6
90,An Evening with Silk Sonic ALBUM REVIEW," 2021 / aftermath entertainment / soul, funk",2021,11/15/2021,7
91,Sloppy Jane - Madison ALBUM REVIEW," 2021 / saddest factory / art pop, chamber music...in a cave",2021,11/12/2021,8
92,Aminé - TwoPointFive MIXTAPE REVIEW," 2021 / clbn / alternative hip hop, trap rap",2021,11/11/2021,6
93,Dijon - Absolutely ALBUM REVIEW," 2021 / dark green, dark green / alternative r&b",2021,11/9/2021,7
94,Marissa Nadler - The Path of the Clouds ALBUM REVIEW," 2021 / sacred bones / dream pop, chamber folk, singer-songwriter",2021,11/5/2021,7
95,The War on Drugs - I Don't Live Here Anymore ALBUM REVIEW," 2021 / atlantic / heartland rock, indie rock",2021,11/4/2021,5
96,Mastodon - Hushed and Grim ALBUM REVIEW, 2021 / reprise / prog metal,2021,11/3/2021,6
97,Ed Sheeran - = ALBUM REVIEW, 2021 / asylum / pop,2021,11/1/2021,2
98,Parquet Courts - Sympathy for Life ALBUM REVIEW," 2021 / rough trade / post-punk, indie rock",2021,10/27/2021,6
99,Lana Del Rey - Blue Banisters ALBUM REVIEW," 2021 / polydor / singer-songwriter, pop, soft rock",2021,10/26/2021,5
100,Coldplay - Music of the Spheres ALBUM REVIEW," 2021 / parlophone / synthpop, pop rock",2021,10/25/2021,2
101,Lil Ugly Mane - Volcanic Bird Enemy and the Voiced Concern ALBUM REVIEW, 2021 / self-released / look at the album cover,2021,10/21/2021,7
102,Remi Wolf - Juno ALBUM REVIEW, 2021 / island / funky soul pop,2021,10/20/2021,7
103,Young Thug - Punk ALBUM REVIEW, 2021 / 300 entertainment / trap rap,2021,10/18/2021,3
104,James Blake - Friends That Break Your Heart ALBUM REVIEW," 2021 / republic / alternative r&b, ambient pop",2021,10/16/2021,8
105,Magdalena Bay - Mercurial World ALBUM REVIEW, 2021 / luminelle / synthpop,2021,10/14/2021,8
106,BADBADNOTGOOD - Talk Memory ALBUM REVIEW, 2021 / xl / jazz fusion,2021,10/13/2021,7
107,Don Toliver - Life of a Don ALBUM REVIEW, 2021 / cactus jack / melo-trap,2021,10/12/2021,4
108,Blu - The Color Blu(e) ALBUM REVIEW, 2021 / nature sounds / conscious hip hop,2021,10/11/2021,8
109,Frontierer - Oxidized ALBUM REVIEW," 2021 / blood blast distribution / mathcore, djent, glitch",2021,10/7/2021,6
110,illuminati hotties - Let Me Do One More ALBUM REVIEW," 2021 / snack shack tracks / indie rock, tenderpunk",2021,10/6/2021,8
111,Wiki - Half God ALBUM REVIEW, 2021 / wikset enterprise / alternative hip hop,2021,10/5/2021,8
112,Sault - Nine ALBUM REVIEW," 2021 / forever living originals / neo-soul, r&b, uk hip hop",2021,9/30/2021,7
113,Sufjan Stevens & Angelo De Augustine - A Beginner's Mind ALBUM REVIEW," 2021 / asthmatic kitty / indie folk, chamber pop",2021,9/29/2021,8
114,ZillaKami - DOG BOY ALBUM REVIEW," 2021 / republic / trap metal, grunge rap",2021,9/28/2021,2
115,"quickly, quickly - The Long and Short of It ALBUM REVIEW"," 2021 / ghostly international / alternative r&b, bedroom pop, nu jazz",2021,9/27/2021,7
116,Carcass - Torn Arteries ALBUM REVIEW, 2021 / nuclear blast / melodic death metal,2021,9/24/2021,7
117,Indigo De Souza - Any Shape You Take ALBUM REVIEW, 2021 / saddle creek / indie rock,2021,9/22/2021,7
118,Injury Reserve - By the Time I Get to Phoenix ALBUM REVIEW," 2021 / self-released / experimental hip hop, glitch",2021,9/21/2021,9
119,Lil Nas X - Montero ALBUM REVIEW, 2021 / columbia / w but still ratio,2021,9/20/2021,7
120,Low - HEY WHAT ALBUM REVIEW," 2021 / sub pop / noise, post-industrial, drone, gospel",2021,9/17/2021,8
121,Baby Keem - The Melodic Blue ALBUM REVIEW, 2021 / pglang / alternative hip hop,2021,9/14/2021,6
122,Kacey Musgraves - star-crossed ALBUM REVIEW," 2021 / mca nashville / pop, crossover country",2021,9/13/2021,2
123,Ka - A Martyr's Reward ALBUM REVIEW," 2021 / iron works / conscious hip hop, minimalist rap",2021,9/9/2021,7
124,Lady Gaga - Dawn of Chromatica ALBUM REVIEW," 2021 / interscope / hyperpop, house, deconstructed club",2021,9/8/2021,7
125,Little Simz - Sometimes I Might Be Introvert ALBUM REVIEW," 2021 / age 101 / conscious hip hop, orchestral rap, neo-soul",2021,9/7/2021,8
126,Drake - Certified Lover Boy ALBUM REVIEW, 2021 / ovo / pop rap,2021,9/6/2021,3
127,"Halsey - If I Can't Have Love, I Want Power ALBUM REVIEW"," 2021 / capitol / alternative pop, industrial rock",2021,9/2/2021,6
128,Kanye West - Donda ALBUM REVIEW, 2021 / g.o.o.d. music,2021,9/1/2021,7
129,Between the Buried and Me - Colors II ALBUM REVIEW," 2021 / sumerian / prog metal, metalcore, metallic zaniness",2021,8/31/2021,4
130,Turnstile - Glow On ALBUM REVIEW," 2021 / roadrunner / post-hardcore, dream punk",2021,8/30/2021,8
131,Boldy James & The Alchemist - Bo Jackson ALBUM REVIEW," 2021 / alc / boom bap, jazz rap",2021,8/28/2021,7
132,The Killers - Pressure Machine ALBUM REVIEW, 2021 / island / heartland rock,2021,8/26/2021,7
133,Trippie Redd - Trip at Knight ALBUM REVIEW," 2021 / tenthousand projects / trap, synth-rap",2021,8/25/2021,5
134,Lorde - Solar Power ALBUM REVIEW," 2021 / universal / psych pop, soft rock, indie folk",2021,8/23/2021,4
135,Deafheaven - Infinite Granite ALBUM REVIEW," 2021 / sargent house / shoegaze, post-rock",2021,8/20/2021,3
136,"Still Woozy - If This Isn’t Nice, I Don’t Know What Is ALBUM REVIEW", 2021 / interscope / bedroom pop,2021,8/19/2021,5
137,Pink Siifu - GUMBO'! ALBUM REVIEW," 2021 / dynamite hill / southern hip hop, cloud rap",2021,8/18/2021,8
138,ZelooperZ - Van Gogh's Left Ear ALBUM REVIEW," 2021 / bruiser brigade / trap rap, abstract hip hop",2021,8/17/2021,6
139,$uicideboy$ - Long Term Effects of Suffering ALBUM REVIEW," 2021 / g59 / trap rap, horrorcore",2021,8/16/2021,4
140,Yola - Stand for Myself ALBUM REVIEW, 2021 / easy eye sound / country soul,2021,8/13/2021,8
141,Lingua Ignota - Sinner Get Ready ALBUM REVIEW," 2021 / sargent house / neoclassical darkwave, neofolk, drone, liturgical music",2021,8/12/2021,10
142,Nas - King's Disease II ALBUM REVIEW, 2021 / mass appeal / east coast hip hop,2021,8/10/2021,8
143,LUMP - Animal ALBUM REVIEW," 2021 / partisan / indie pop, indietronic",2021,8/9/2021,7
144,Billie Eilish - Happier Than Ever ALBUM REVIEW," 2021 / darkroom / pop, r&b",2021,8/5/2021,7
145,Bleachers - Take the Sadness Out of Saturday Night ALBUM REVIEW, 2021 / rca / pop rock,2021,8/5/2021,6
146,Isaiah Rashad - The House Is Burning ALBUM REVIEW, 2021 / tde / southern hip hop,2021,8/4/2021,5
147,Logic - Bobby Tarantino III MIXTAPE REVIEW," 2021 / def jam / trap rap, boom bap",2021,8/3/2021,3
148,Alexis Marshall - House of Lull . House of When ALBUM REVIEW," 2021 / sargent house / post-industrial, spoken word, noise rock",2021,7/30/2021,7
149,Darkside - Spiral ALBUM REVIEW," 2021 / matador / krautrock, neo-psychedelia, electronic",2021,7/28/2021,7
150,IDK - USEE4YOURSELF ALBUM REVIEW, 2021 / clue no clue / pop rap,2021,7/27/2021,5
151,Dave - We're All Alone in This Together ALBUM REVIEW, 2021 / neighbourhood / conscious hip hop,2021,7/26/2021,6
152,KSI - All Over the Place ALBUM REVIEW," 2021 / beerus / pop rap, uk hip hop",2021,7/22/2021,5
153,Clairo - Sling ALBUM REVIEW," 2021 / fader, republic / singer-songwriter, chamber folk, soft rock",2021,7/21/2021,7
154,Pop Smoke - Faith ALBUM REVIEW," 2021 / victor victor / pop rap, trap, ny drill",2021,7/20/2021,4
155,Tones and I - Welcome to the Madhouse ALBUM REVIEW, 2021 / elektra / dance pop,2021,7/19/2021,0
156,Twin Shadow - Twin Shadow ALBUM REVIEW," 2021 / cheree cheree / psych pop, synthpop",2021,7/15/2021,8
157,Vince Staples - Vince Staples ALBUM REVIEW," 2021 / blacksmith / trap rap, west coast hip hop",2021,7/14/2021,7
158,"Tkay Maidza - Last Year Was Weird, Vol. 3 EP REVIEW"," 2021 / 4ad / pop rap, neo-soul, r&b",2021,7/13/2021,7
159,Gaspard Augé - Escapades ALBUM REVIEW, 2021 / because music / electro-disco,2021,7/7/2021,4
160,Spellling - The Turning Wheel ALBUM REVIEW, 2021 / sacred bones / art pop,2021,7/6/2021,10
161,Modest Mouse - The Golden Casket ALBUM REVIEW," 2021 / epic / indie rock, neo-psych",2021,7/2/2021,2
162,Lucy Dacus - Home Video ALBUM REVIEW," 2021 / matador / singer-songwriter, indie pop",2021,7/1/2021,7
163,Doja Cat - Planet Her ALBUM REVIEW, 2021 / kemosabe / pop rap,2021,6/30/2021,5
164,"Tyler, the Creator - Call Me If You Get Lost ALBUM REVIEW"," 2021 / columbia / alternative hip hop, neo-soul",2021,6/28/2021,8
165,Backxwash - I Lie Here Buried with My Rings and My Dresses ALBUM REVIEW, 2021 / self-released / industrial hip hop,2021,6/24/2021,8
166,Marina - Ancient Dreams in a Modern Land ALBUM REVIEW, 2021 / atlantic / pop,2021,6/23/2021,6
167,Polo G - Hall of Fame ALBUM REVIEW, 2021 / columbia / trap rap,2021,6/21/2021,6
168,Pi'erre Bourne - The Life of Pi'erre 5 ALBUM REVIEW, 2021 / sosshouse / trap rap,2021,6/19/2021,5
169,Dean Blunt - Black Metal 2 ALBUM REVIEW, 2021 / rough trade / more black metal,2021,6/17/2021,7
170,King Gizzard & The Lizard Wizard - Butterfly 3000 ALBUM REVIEW," 2021 / self-released / neo-psych, synthpop",2021,6/16/2021,5
171,Migos - Culture III ALBUM REVIEW, 2021 / quality control / trap rap,2021,6/15/2021,2
172,"Sweet Trip - A Tiny House, In Secret Speeches, Polar Equals ALBUM REVIEW"," 2021 / darla / dream pop, indietronic",2021,6/14/2021,7
173,Bladee - The Fool ALBUM REVIEW," 2021 / year0001 / tarot trap, d9",2021,6/11/2021,6
174,Lil Baby & Lil Durk - The Voice of the Heroes ALBUM REVIEW," 2021 / quality control / trap rap, conscious hip hop",2021,6/9/2021,6
175,Japanese Breakfast - Jubilee ALBUM REVIEW, 2021 / dead oceans / indie pop,2021,6/8/2021,7
176,Wolf Alice - Blue Weekend ALBUM REVIEW," 2021 / dirty hit / alt rock, dream pop",2021,6/7/2021,4
177,Natalia Lafourcade - Un Canto por México Vol. 2 ALBUM REVIEW, 2021 / sony / mexican folk music,2021,6/5/2021,6
178,Portal - Avow ALBUM REVIEW, 2021 / profound lore / blackened death metal,2021,6/3/2021,5
179,black midi - Cavalcade ALBUM REVIEW," 2021 / rough trade / avant-prog, art rock",2021,6/2/2021,8
180,DMX - Exodus ALBUM REVIEW, 2021 / def jam / hardcore hip hop,2021,6/1/2021,5
181,Panopticon - ...And Again Into the Light ALBUM REVIEW," 2021 / bindrune recordings / atmospheric black metal, post-rock, americana",2021,5/31/2021,8
182,Mach-Hommy - Pray for Haiti ALBUM REVIEW," 2021 / griselda / jazz rap, abstract hip hop",2021,5/28/2021,7
183,Olivia Rodrigo - Sour ALBUM REVIEW, 2021 / geffen / teen pop,2021,5/26/2021,7
184,Tune-Yards - sketchy. ALBUM REVIEW," 2021 / 4ad / indie pop, neo-psych",2021,5/25/2021,7
185,twenty one pilots - Scaled and Icy ALBUM REVIEW, 2021 / fueled by ramen / alternative pop,2021,5/24/2021,2
186,Sons of Kemet - Black to the Future ALBUM REVIEW, 2021 / impulse! / afro-jazz,2021,5/20/2021,7
187,St. Vincent - Daddy's Home ALBUM REVIEW," 2021 / loma vista / psychedelic soul, soft rock",2021,5/18/2021,9
188,J. Cole - The Off-Season ALBUM REVIEW," 2021 / dreamville / pop rap, conscious hip hop",2021,5/17/2021,7
189,Iceage - Seek Shelter ALBUM REVIEW, 2021 / mexican summer / post-punk,2021,5/14/2021,7
190,Squid - Bright Green Field ALBUM REVIEW, 2021 / warp / art punk,2021,5/13/2021,7
191,Weezer - Van Weezer ALBUM REVIEW," 2021 / crush music / power pop, hard rock",2021,5/12/2021,5
192,Czarface & MF DOOM - Super What? ALBUM REVIEW, 2021 / silver age / east coast hip hop,2021,5/11/2021,6
193,Sematary - Rainbow Bridge 3 MIXTAPE REVIEW," 2021 / haunted mound / horrorcore, trap metal, noise, witch house",2021,5/9/2021,8
194,Gojira - Fortitude ALBUM REVIEW, 2021 / roadrunner / progressive groove metal,2021,5/6/2021,7
195,girl in red - if i could make it go quiet ALBUM REVIEW, 2021 / world in red / indie pop,2021,5/5/2021,3
196,DJ Khaled - Khaled Khaled ALBUM REVIEW, 2021 / we the best / pop rap,2021,5/4/2021,4
197,Porter Robinson - Nurture ALBUM REVIEW," 2021 / mom + pop / electropop, glitch, folktronic",2021,5/2/2021,8
198,Greta Van Fleet - The Battle at Garden's Gate ALBUM REVIEW, 2021 / republic / hard rock,2021,4/29/2021,2
199,Spectral Wound - A Diabolic Thirst ALBUM REVIEW, 2021 / profound lore / black metal,2021,4/27/2021,6
200,Cannibal Corpse - Violence Unimagined ALBUM REVIEW, 2021 / metal blade / death metal,2021,4/24/2021,7
201,Conway the Machine - La Maquina ALBUM REVIEW, 2021 / griselda / east coast hip hop,2021,4/23/2021,7
202,"Young Stoner Life, Young Thug, Gunna - Slime Language 2 ALBUM REVIEW", 2021 / ysl / trap rap,2021,4/19/2021,5
203,"Spirit of the Beehive - Entertainment, Death ALBUM REVIEW"," 2021 / saddle creek / noise pop, neo-psych, indie rock",2021,4/15/2021,7
204,"BROCKHAMPTON - ROADRUNNER: NEW LIGHT, NEW MACHINE ALBUM REVIEW", 2021 / rca / alternative hip hop,2021,4/12/2021,8
205,"Floating Points, Pharoah Sanders & The LSO - Promises ALBUM REVIEW"," 2021 / luaka bop / spiritual jazz, contemporary classical, electronic",2021,4/11/2021,9
206,serpentwithfeet - DEACON ALBUM REVIEW," 2021 / secretly canadian / alternative r&b, art pop",2021,4/9/2021,5
207,Iglooghost - Lei Line Eon ALBUM REVIEW, 2021 / gloo / lei music,2021,4/8/2021,6
208,Godspeed You! Black Emperor - G_d's Pee AT STATE'S END ALBUM REVIEW, 2021 / constellation / post-rock,2021,4/7/2021,7
209,Quadeca - From Me to You ALBUM REVIEW," 2021 / self-released / emo trap, experimental hip hop",2021,4/5/2021,5
210,Xiu Xiu - OH NO ALBUM REVIEW, 2021 / polyvinyl / experimental pop,2021,4/3/2021,7
211,Armand Hammer & The Alchemist - Haram ALBUM REVIEW, 2021 / backwoodz studioz / abstract hip hop,2021,4/2/2021,8
212,NF - Clouds MIXTAPE REVIEW," 2021 / self-released / pop rap, conscious hip hop",2021,3/30/2021,5
213,Death From Above 1979 - Is 4 Lovers ALBUM REVIEW, 2021 / everything eleven / dance-punk,2021,3/29/2021,6
214,Feu! Chatterton - Palais d'Argile ALBUM REVIEW," 2021 / universo em fogo / new chanson, art pop",2021,3/25/2021,8
215,Benny the Butcher & Harry Fraud - The Plugs I Met 2 EP REVIEW," 2021 / black soprano family / east coast hip hop, gangsta rap",2021,3/24/2021,7
216,Lana Del Rey - Chemtrails Over the Country Club ALBUM REVIEW," 2021 / interscope / singer-songwriter, dream pop, soft rock, americana",2021,3/23/2021,7
217,Justin Bieber - Justice ALBUM REVIEW, 2021 / def jam / pop,2021,3/22/2021,3
218,Rural Internet - BREAKING UP ALBUM REVIEW, 2021 / self-released / experimental hip hop,2021,3/19/2021,7
219,Sleaford Mods - Spare Ribs ALBUM REVIEW," 2021 / rough trade / uk hip hop, post-punk",2021,3/18/2021,4
220,C. Tangana - El Madrileño ALBUM REVIEW," 2021 / sony / alternative r&b, latin pop",2021,3/13/2021,7
221,Altın Gün - Yol ALBUM REVIEW," 2021 / ato / anatolian rock, synthpop",2021,3/12/2021,7
222,Danny L Harle - Harlecore ALBUM REVIEW, 2021 / mad decent / edm,2021,3/11/2021,6
223,Denzel Curry x Kenny Beats - Unlocked 1.5 ALBUM REVIEW, 2021 / loma vista / hardcore hip hop,2021,3/9/2021,6
224,Genesis Owusu - Smiling with No Teeth ALBUM REVIEW," 2021 / ourness / neo-soul, alternative hip hop",2021,3/8/2021,8
225,Julien Baker - Little Oblivions ALBUM REVIEW," 2021 / matador / indie rock, indie folk",2021,3/3/2021,4
226,Nick Cave & Warren Ellis - Carnage ALBUM REVIEW," 2021 / goliath / chamber pop, ambient, singer-songwriter",2021,3/2/2021,8
227,King Gizzard & The Lizard Wizard - L.W. ALBUM REVIEW, 2021 / flightless / microtonal psych rock,2021,3/1/2021,7
228,Mogwai - As the Love Continues ALBUM REVIEW, 2021 / temporary residence ltd. / post-rock,2021,2/26/2021,6
229,Conway & Big Ghost Ltd - If It Bleeds It Can Be Killed ALBUM REVIEW, 2021 / big ghost ltd. / gangsta rap,2021,2/25/2021,7
230,Ad Nauseam - Imperative Imperceptible Impulse ALBUM REVIEW," 2021 / avantgarde / tech death, contemporary classical",2021,2/23/2021,8
231,Trippie Redd - Neon Shark vs. Pegasus ALBUM REVIEW," 2021 / tenthousand projects / pop punk, emo trap, rap rock",2021,2/22/2021,4
